Village,Year,Crop,Rainfall_Q1,Temp_Q1,Pest_Q1,Rainfall_Q2,Temp_Q2,Pest_Q2,Rainfall_Q3,Temp_Q3,Pest_Q3,Rainfall_Q4,Temp_Q4,Pest_Q4,Harvest_Quarter,Annual_Yield_hg_per_ha
Anekal,2005,Arecanut,92.08,29.28,0.41,382.81,33.78,11.04,1147.66,18.09,29.97,289.5,17.47,4.25,Q4,50900
Anekal,2005,Sugarcane,49.11,28.4,32.0,144.41,34.9,33.68,561.64,26.75,26.63,186.98,22.81,18.77,Q4,835960
Anekal,2005,Sunflower,19.34,31.87,0.54,56.09,35.77,10.4,352.45,26.37,18.3,72.07,25.13,3.45,Q4,13060
Anekal,2005,Wheat,41.86,30.72,0.88,132.95,28.18,11.06,530.48,26.42,28.01,180.62,27.83,3.8,Q4,45290
Anekal,2006,Arecanut,23.77,21.76,34.43,89.82,28.08,32.22,529.59,23.19,26.34,110.16,18.68,18.01,Q4,825360
Anekal,2006,Mango,43.69,29.92,0.17,137.04,27.26,13.57,542.86,26.31,28.42,181.25,23.8,5.5,Q4,45620
Anekal,2006,Onion,34.19,24.08,25.61,86.52,23.41,33.25,368.04,24.22,8.11,117.64,24.83,5.93,Q2,72150
Anekal,2006,Sugarcane,80.77,22.26,5.05,333.92,27.67,8.56,986.91,21.3,29.1,253.84,25.08,6.22,Q4,45850
Anekal,2007,Onion,47.07,27.48,32.84,139.94,30.6,34.26,572.31,26.08,26.78,188.39,26.85,17.33,Q4,865680
Anekal,2007,Potato,23.11,25.21,6.43,86.14,25.83,66.56,508.93,29.11,74.65,105.73,24.11,13.36,Q4,21380
Anekal,2007,Ragi,17.11,29.11,-1.15,66.2,25.56,15.77,411.28,25.98,25.98,92.66,28.44,5.11,Q4,36860
Anekal,2007,Turmeric,21.51,24.43,27.5,82.43,26.76,26.84,446.3,25.85,23.39,90.58,30.36,13.21,Q4,665720
Anekal,2010,Bengal Gram,13.39,34.98,8.06,64.52,30.66,56.31,398.15,28.66,62.32,87.4,24.36,15.08,Q4,16590
Anekal,2010,Potato,21.3,33.12,4.35,77.4,26.99,9.29,453.96,28.54,23.45,101.65,24.46,3.08,Q4,17050
Anekal,2010,Ragi,29.43,26.77,0.06,100.35,22.43,6.84,411.18,28.73,18.69,137.45,29.63,4.75,Q4,18880
Anekal,2010,Sunflower,15.06,30.36,8.37,62.19,32.88,55.46,385.0,27.9,63.71,85.76,31.63,15.3,Q4,15850
Anekal,2012,Jowar,24.53,32.97,0.89,86.01,26.23,10.5,519.72,26.0,29.8,110.16,25.99,5.19,Q4,48160
Anekal,2012,Maize,14.78,24.7,4.07,72.08,33.64,10.65,401.56,27.93,18.66,90.7,29.9,2.6,Q4,15260
Anekal,2012,Millet,16.99,29.11,1.11,73.65,24.18,11.14,452.96,26.31,26.16,100.8,21.56,4.87,Q4,20150
Anekal,2012,Ragi,117.95,22.45,27.5,450.38,25.32,32.17,1352.22,23.32,23.75,343.15,20.33,26.74,Q4,21950
Anekal,2013,Bengal Gram,35.42,19.16,1.9,98.78,26.11,8.41,401.73,28.2,19.41,128.03,24.79,4.69,Q4,18690
Anekal,2013,Mango,19.97,30.02,2.28,82.21,31.45,13.87,461.22,22.5,23.42,95.56,25.17,6.19,Q4,17460
Anekal,2013,Millet,59.9,23.18,12.59,233.41,21.35,6.12,685.44,20.16,11.94,177.27,26.11,22.7,Q4,140100
Anekal,2013,Pepper,117.02,18.23,3.05,438.08,19.95,16.51,1321.25,24.08,32.62,328.79,26.53,6.4,Q4,56400
Belagavi,2005,Jowar,19.5,26.2,2.04,78.0,27.51,10.2,455.0,24.89,24.48,97.5,25.41,4.08,Q4,20150
Belagavi,2005,Sugarcane,19.5,26.2,28.65,78.0,27.51,28.65,455.0,24.89,23.88,97.5,25.41,14.33,Q4,680450
Belagavi,2005,Sunflower,16.89,24.62,29.7,79.69,28.24,30.31,453.92,26.76,25.43,100.32,28.33,15.29,Q4,680450
Belagavi,2005,Tomato,18.65,25.54,30.02,75.31,28.65,26.83,453.08,26.79,25.79,98.85,24.26,16.2,Q4,680450
Belagavi,2006,Jowar,21.0,26.8,2.13,84.0,28.14,10.63,490.0,25.46,25.5,105.0,26.0,4.25,Q4,21400
Belagavi,2006,Millet,22.06,25.42,28.76,86.58,30.64,29.92,488.63,23.01,27.02,106.33,26.1,15.92,Q4,740800
Belagavi,2006,Sugarcane,21.0,26.8,30.06,84.0,28.14,30.06,490.0,25.46,25.05,105.0,26.0,15.03,Q4,740800
Belagavi,2006,Wheat,21.35,28.61,3.03,86.36,27.67,9.06,491.71,23.39,24.78,107.82,28.44,2.59,Q4,21400
Belagavi,2007,Bengal Gram,18.65,27.42,0.04,74.69,25.28,10.09,435.99,25.18,24.1,92.02,24.54,2.32,Q4,19260
Belagavi,2007,Jowar,18.6,26.5,1.98,74.4,27.83,9.9,434.0,25.18,23.76,93.0,25.71,3.96,Q4,19260
Belagavi,2007,Millet,16.98,25.01,26.82,74.89,26.42,26.2,432.37,25.55,23.89,95.83,26.54,13.75,Q4,645160
Belagavi,2007,Sugarcane,18.6,26.5,27.84,74.4,27.83,27.84,434.0,25.18,23.2,93.0,25.71,13.92,Q4,645160
Belagavi,2008,Jowar,22.5,25.9,2.26,90.0,27.2,11.28,525.0,24.61,27.06,112.5,25.12,4.51,Q4,22850
Belagavi,2008,Onion,23.53,23.15,31.99,88.59,30.06,30.51,524.71,26.07,26.18,110.37,26.36,17.36,Q4,800350
Belagavi,2008,Sugarcane,22.5,25.9,31.77,90.0,27.2,31.77,525.0,24.61,26.48,112.5,25.12,15.89,Q4,800350
Belagavi,2008,Turmeric,21.24,27.19,33.11,90.29,24.41,30.7,524.6,26.93,28.23,113.37,24.61,15.16,Q4,800350
Belagavi,2009,Jowar,19.2,27.1,2.06,76.8,28.46,10.3,448.0,25.75,24.72,96.0,26.29,4.12,Q4,19820
Belagavi,2009,Millet,20.5,24.11,26.44,78.9,29.69,27.83,449.41,23.13,23.15,94.57,25.8,13.05,Q4,665720
Belagavi,2009,Sugarcane,19.2,27.1,28.29,76.8,28.46,28.29,448.0,25.75,23.58,96.0,26.29,14.15,Q4,665720
Belagavi,2009,Turmeric,21.22,28.74,27.23,73.85,27.13,26.69,451.0,27.15,23.71,97.92,25.25,13.51,Q4,665720
Belagavi,2010,Jowar,21.6,26.3,2.19,86.4,27.62,10.95,504.0,25.0,26.28,108.0,25.51,4.38,Q4,22120
Belagavi,2010,Pepper,20.05,25.11,29.06,85.51,24.94,32.75,506.89,24.11,25.96,110.16,25.58,14.83,Q4,765920
Belagavi,2010,Sugarcane,21.6,26.3,30.81,86.4,27.62,30.81,504.0,25.0,25.68,108.0,25.51,15.41,Q4,765920
Belagavi,2010,Wheat,21.04,25.81,29.68,83.96,28.15,30.91,501.79,24.52,24.23,105.84,25.15,15.63,Q4,765920
Belagavi,2011,Jowar,18.0,27.4,1.92,72.0,28.77,9.6,420.0,26.03,23.04,90.0,26.58,3.84,Q4,18540
Belagavi,2011,Millet,16.38,29.04,25.33,74.97,28.46,27.09,419.31,27.09,21.73,89.17,27.08,14.55,Q4,620440
Belagavi,2011,Pepper,17.89,24.53,0.55,70.69,28.85,11.51,420.19,26.15,22.23,91.33,29.13,5.22,Q4,18540
Belagavi,2011,Sugarcane,18.0,27.4,27.03,72.0,28.77,27.03,420.0,26.03,22.53,90.0,26.58,13.52,Q4,620440
Belagavi,2012,Jowar,23.4,25.7,2.37,93.6,26.99,11.83,546.0,24.42,28.38,117.0,24.93,4.73,Q4,24070
Belagavi,2012,Onion,21.72,26.66,2.99,93.23,28.15,10.19,544.5,25.88,28.56,116.6,27.56,4.88,Q4,24070
Belagavi,2012,Pepper,23.68,23.02,2.5,92.85,29.26,11.76,547.81,26.53,28.69,118.96,25.11,5.15,Q4,24070
Belagavi,2012,Sugarcane,23.4,25.7,33.15,93.6,26.99,33.15,546.0,24.42,27.63,117.0,24.93,16.58,Q4,850270
Belagavi,2013,Jowar,20.4,26.6,2.1,81.6,27.93,10.5,476.0,25.27,25.2,102.0,25.8,4.2,Q4,20880
Belagavi,2013,Millet,17.68,24.59,1.67,82.88,25.44,10.23,477.36,23.07,25.7,104.1,23.91,2.39,Q4,20880
Belagavi,2013,Onion,17.97,24.12,30.32,79.14,25.39,28.6,474.78,25.43,24.44,102.12,23.2,16.8,Q4,715880
Belagavi,2013,Sugarcane,20.4,26.6,29.64,81.6,27.93,29.64,476.0,25.27,24.7,102.0,25.8,14.82,Q4,715880
Belagavi,2014,Bengal Gram,17.64,24.01,3.2,74.87,29.51,10.37,440.16,23.74,24.16,94.32,25.24,2.01,Q4,19570
Belagavi,2014,Jowar,18.9,26.9,2.01,75.6,28.25,10.03,441.0,25.56,24.06,94.5,26.1,4.01,Q4,19570
Belagavi,2014,Sugarcane,18.9,26.9,28.08,75.6,28.25,28.08,441.0,25.56,23.4,94.5,26.1,14.04,Q4,655670
Belagavi,2014,Turmeric,17.35,26.14,27.63,72.64,25.73,29.32,442.47,22.66,21.71,96.67,28.3,13.87,Q4,655670
Belagavi,2015,Jowar,17.4,27.7,1.86,69.6,29.09,9.3,406.0,26.32,22.32,87.0,26.87,3.72,Q4,17860
Belagavi,2015,Onion,15.61,30.6,27.48,69.32,26.52,25.32,404.93,25.07,20.71,86.02,24.43,13.87,Q4,590360
Belagavi,2015,Sugarcane,17.4,27.7,26.22,69.6,29.09,26.22,406.0,26.32,21.85,87.0,26.87,13.11,Q4,590360
Belagavi,2015,Tomato,17.26,28.9,28.09,72.05,26.11,25.84,407.51,27.94,23.34,87.96,29.07,11.38,Q4,590360
Belagavi,2016,Jowar,21.9,26.1,2.23,87.6,27.41,11.13,511.0,24.8,26.7,109.5,25.32,4.45,Q4,22490
Belagavi,2016,Millet,24.12,26.07,0.38,86.36,25.91,9.57,511.75,23.72,24.75,107.63,25.17,3.71,Q4,22490
Belagavi,2016,Sugarcane,21.9,26.1,31.29,87.6,27.41,31.29,511.0,24.8,26.08,109.5,25.32,15.65,Q4,785490
Belagavi,2016,Tomato,24.37,28.56,3.23,90.02,27.37,10.0,512.72,24.7,25.0,108.76,26.96,5.97,Q4,22490
Belagavi,2017,Jowar,20.1,26.7,2.08,80.4,28.04,10.38,469.0,25.37,24.9,100.5,25.9,4.15,Q4,20570
Belagavi,2017,Sugarcane,20.1,26.7,29.28,80.4,28.04,29.28,469.0,25.37,24.4,100.5,25.9,14.64,Q4,700570
Belagavi,2017,Tomato,17.6,26.58,2.78,82.96,26.61,10.75,470.48,24.28,23.38,101.03,25.73,3.72,Q4,20570
Belagavi,2017,Turmeric,22.98,27.67,30.47,82.95,25.96,27.85,466.59,23.98,23.01,97.94,28.72,13.18,Q4,700570
Belagavi,2018,Jowar,19.8,27.0,2.03,79.2,28.35,10.13,462.0,25.65,24.3,99.0,26.19,4.05,Q4,20340
